,time_in,sample_receipt_in,sample_receipt_out,sample_prep_auto_in,sample_prep_auto_out,sample_prep_manual_in,sample_prep_manual_out,sample_heat_in,sample_heat_out,rna_extraction_in,rna_extraction_out,pcr_prep_in,pcr_prep_out,pcr_in,pcr_out,data_analysis_in,data_analysis_out,priority
147,5760,26.0,343.23038949691,,,347.0,398.8226404977095,403.0,522.5594785918456,545.0,677.344428785088,679.0,717.221312980404,718.0,825.5303342925736,826.0,836.4841259128289,1
148,5760,46.0,325.3270303970867,,,327.0,590.8600455450551,592.0,683.5098321769283,741.0,865.2321708897671,877.0,916.445263383157,917.0,1024.653999723867,1025.0,1035.2704826623412,1
149,5760,46.0,325.3270303970867,,,327.0,590.8600455450551,592.0,683.5098321769283,748.0,875.6740575136,881.0,926.4908559079604,927.0,1034.3886274812112,1035.0,1046.699210930482,1
150,7200,0.0,27.049909496028704,,,28.0,97.83397658558351,118.0,199.70268187254442,218.0,343.81771845709045,368.0,405.79324029943655,406.0,515.600138723602,516.0,526.6759163355664,1
151,7200,0.0,27.049909496028704,,,28.0,97.83397658558351,118.0,199.70268187254442,238.0,366.13849412675336,385.0,421.589399741094,422.0,528.1997538778078,529.0,539.6323786114444,1
152,7200,0.0,23.2552194921509,,,24.0,69.84455712052477,70.0,588.9037057748355,620.0,749.1857832843989,751.0,787.90519505878,788.0,894.1034737597838,895.0,906.6193202283803,1
153,7200,0.0,23.2552194921509,,,24.0,69.84455712052477,70.0,588.9037057748355,627.0,749.6925524344306,760.0,796.9850896546031,797.0,909.7669623529519,910.0,920.2159032906211,1
154,7200,0.0,24.48043248673821,,,25.0,93.67465070650996,94.0,119.04905384666745,145.0,268.93419459297274,288.0,323.7442611772922,324.0,427.85152065502007,428.0,438.5414001228992,1
155,7200,0.0,24.48043248673821,,,25.0,93.67465070650996,94.0,119.04905384666745,158.0,286.52769295314283,322.0,359.9797633545777,360.0,467.2473817851687,468.0,479.65550655446714,1
156,7200,0.0,22.635073220778395,23.0,80.53264780240261,,,88.0,116.5943705567961,128.0,253.45368533675537,255.0,292.52124534808627,293.0,402.16644859589087,403.0,414.00181289752436,1
157,7200,0.0,22.635073220778395,23.0,80.53264780240261,,,88.0,116.5943705567961,138.0,265.9536997848809,267.0,303.30126397338245,304.0,409.83112118116605,410.0,420.6744451804816,1
158,7200,0.0,24.846004830475977,,,25.0,95.03958454050644,96.0,121.24829142667295,138.0,265.90922921760193,267.0,302.4895784292603,303.0,409.9026163499566,410.0,420.15908120814584,1
159,7200,0.0,23.404447191634063,,,24.0,72.22860597755789,77.0,146.2411710318538,198.0,320.7033787873288,331.0,370.06008108333754,371.0,478.1905532093906,479.0,489.4859180481535,1
160,7200,0.0,26.800716719328193,,,27.0,155.07833981049316,156.0,253.90852742727202,272.0,403.21618068077714,405.0,442.55304210956365,443.0,547.5063547947002,548.0,558.9167602369344,1
161,7200,0.0,26.800716719328193,,,27.0,155.07833981049316,156.0,253.90852742727202,328.0,453.5137626637479,455.0,491.49393970587425,492.0,598.069807439766,599.0,609.6059699337029,1
162,7200,0.0,24.4111341969583,,,25.0,145.30529481403846,146.0,248.8487047423714,265.0,389.6296197905467,453.0,490.64638177921097,491.0,600.0264121580367,601.0,612.8316811523218,1
163,7200,0.0,24.169353158669765,,,25.0,291.81490373339057,297.0,529.4743634156221,548.0,670.6506987684688,688.0,726.6449556638008,727.0,831.5990306496496,832.0,843.6679768930453,1
164,7200,0.0,24.169353158669765,,,25.0,291.81490373339057,297.0,529.4743634156221,556.0,686.0604773974856,688.0,724.8414841016538,725.0,837.467335847351,838.0,848.1318658219006,1
165,7200,23.0,45.459102833862744,,,46.0,728.1204146799628,736.0,761.7870813488935,786.0,910.2548147459893,912.0,947.0899779926158,948.0,1051.9793371072792,1052.0,1063.3050829114745,1
166,7200,23.0,45.459102833862744,,,46.0,728.1204146799628,736.0,761.7870813488935,793.0,919.333270626088,921.0,958.4633643229517,961.0,1079.9017275662463,1080.0,1450.5991711613133,1
167,7200,23.0,49.26833826691836,,,70.0,162.24067734262735,198.0,227.74480982271962,258.0,388.9831525441514,390.0,425.6478803186974,426.0,534.519032907483,535.0,546.5124880103594,1
168,7200,24.0,46.60669877370856,,,47.0,349.33493547519083,368.0,534.2085590510087,563.0,693.2127597602339,695.0,731.6525362970979,732.0,838.005977846401,839.0,851.0818606752373,1
169,7200,24.0,228.41239165924162,,,230.0,395.71299237453786,458.0,517.2951571064677,528.0,658.2931925103476,660.0,695.8898636934309,696.0,805.5765776842627,806.0,817.00746419795,1
170,7200,24.0,228.41239165924162,,,230.0,395.71299237453786,458.0,517.2951571064677,528.0,654.7899295148318,656.0,694.1490330079869,695.0,804.6993373621317,805.0,816.5881544603326,1
171,7200,25.0,48.87350692718519,,,77.0,135.1576880699322,143.0,318.3583266886544,335.0,462.0482816167687,472.0,508.5754974399688,509.0,618.8774912736317,619.0,629.7475687152328,1
172,7200,25.0,48.87350692718519,,,77.0,135.1576880699322,143.0,318.3583266886544,342.0,470.84422576549605,477.0,512.9875519699362,513.0,625.1298195839645,626.0,636.2988876031213,1
173,7200,27.0,75.62297369945645,83.0,548.2813405931502,,,581.0,675.8851923578277,695.0,820.1464676689711,829.0,864.5436233023947,865.0,970.9637971323982,971.0,981.407648076357,1
174,7200,27.0,75.62297369945645,83.0,548.2813405931502,,,581.0,675.8851923578277,702.0,827.1631952296493,834.0,869.962965850973,870.0,981.501505544029,982.0,994.1627804480122,1
175,7200,46.0,70.75674564840301,88.0,335.14611059403614,,,336.0,369.3201974315434,388.0,512.8640482418632,514.0,549.754055218008,550.0,658.1456286405346,659.0,669.3621459798869,1
176,7200,46.0,70.75674564840301,88.0,335.14611059403614,,,336.0,369.3201974315434,388.0,514.8523471386043,516.0,552.1735240077087,553.0,664.4095801634548,665.0,675.1371115907759,1
177,7200,46.0,74.28333809034211,,,91.0,587.6093650273579,635.0,671.4257561161558,744.0,871.9043638212643,873.0,911.342703709669,912.0,1017.0347092020456,1018.0,1028.4194573613422,1
178,7200,46.0,74.28333809034211,,,91.0,587.6093650273579,635.0,671.4257561161558,751.0,874.1355445027793,876.0,911.7472106699779,912.0,1025.7365282656974,1026.0,1036.0643882219392,1
179,7200,47.0,70.62985671257775,94.0,268.88824828777706,,,271.0,580.0442580996832,599.0,722.0410183167605,735.0,773.7614194083335,774.0,878.4174475004102,879.0,889.8461964845865,1
180,7200,47.0,70.62985671257775,94.0,268.88824828777706,,,271.0,580.0442580996832,606.0,733.3082120023482,738.0,776.2814033378845,777.0,886.920303533223,887.0,898.438998112355,1
181,7200,48.0,70.68620385000213,,,94.0,428.0695387048572,530.0,588.5461465680683,641.0,772.3697620668509,777.0,815.8488275050959,816.0,926.5571301820619,927.0,938.7026579400899,1
182,7200,48.0,70.68620385000213,,,94.0,428.0695387048572,530.0,588.5461465680683,648.0,775.4915031703968,816.0,852.3986365791225,853.0,960.6784998959001,961.0,971.7274297768545,1
183,7200,49.0,325.5961091835916,326.0,382.55496070344634,,,390.0,707.6837350399319,793.0,919.5542706925507,921.0,958.292691492763,961.0,1071.045516462942,1072.0,1083.3879567859458,1
184,8640,0.0,25.735434382217136,,,26.0,90.42418126125995,93.0,279.5211887029218,305.0,432.28726628727964,439.0,476.9218874315793,477.0,582.01084034839,583.0,593.0248350073689,1
185,8640,0.0,25.735434382217136,,,26.0,90.42418126125995,93.0,279.5211887029218,312.0,437.0044462989554,444.0,479.89813496058196,480.0,587.9598536219528,588.0,598.1087942772083,1
186,8640,0.0,22.550196978012536,23.0,80.64543031104768,,,81.0,119.8689590191916,139.0,262.08460577749247,264.0,300.97478834839603,301.0,408.5207295545588,409.0,419.61583826457536,1
187,8640,0.0,22.550196978012536,23.0,80.64543031104768,,,81.0,119.8689590191916,158.0,288.03758726130764,290.0,326.62318716136906,327.0,436.6372512074249,437.0,460.35951879491586,1
